t,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14
0.044999999923118636,0.000020713256175815607,0.1999210312590867,0.00004979192062291811,0.024968858448757757,0.000006422852164020766,0.000018686480916364234,0.000001563655744778292,0.000000010857346756803739,0.000000014021880895652037,0.0000000010453131396753853,0.000005465371609655815,0.0000000014706830098474295,0.00000000003451951108884454,0.000000000000001692132896704983,0.000000021437220168739127,
0.04666666666298951,0.000020665126846545155,0.1999200167495055,0.000049675993112231944,0.02496771338338158,0.000006655294915153153,0.000019321384745424007,0.0000016773715661926805,0.000000010986005609193878,0.000000013817713501017228,0.0000000008862191738415109,0.000005663528746435104,0.0000000014481233656905833,0.000000000034439316173265974,0.0000000000000016882017733918735,0.000000021737605600747976,
0.048333333319527064,0.0000206171069473039,0.19991899885346986,0.00004956032761117433,0.024966569273754086,0.000006887153979156707,0.000019952474104712864,0.0000017948442895414379,0.000000011133865248674683,0.000000013586466564508304,0.0000000007472312766332684,0.000005861226970132863,0.0000000014260072745687855,0.000000000034359302671752253,0.0000000000000016842795429250794,0.00000002204335916804146,
0.049999999976064614,0.00002056919671231053,0.19991797759090146,0.00004944492462718332,0.02496542612102604,0.000007118431004903702,0.000020579773926952012,0.000001916047005798514,0.000000011302959278630898,0.000000013330975313687959,0.0000000006266544806172945,0.000006058466135894159,0.0000000014035818596923292,0.0000000000342794709313026,0.0000000000000016803662223143659,0.00000002235405818157768,
0.05166666663260216,0.000020521396374914793,0.19991695298196527,0.00004932978470688,0.02496428392448004,0.000007349127625355695,0.00002120330909361956,0.000002040952691143942,0.00000001149544507225442,0.000000013054090166562565,0.0000000005227694058015371,0.0000062552462356121346,0.0000000013803016018403683,0.00000000003419982132615814,0.0000000000000016764618299048861,0.000000022669087534021518,
0.05333333328913971,0.00002047370615451533,0.19991592504705175,0.00004921490839836504,0.024963142683599174,0.000007579245458744105,0.00002182310446988013,0.0000021695342066479378,0.000000011713607129031899,0.000000012758624399094252,0.00000000043387336638420556,0.000006451567418094647,0.0000000013557999855523249,0.000000000034120354231651024,0.0000000000000016725663840952759,0.000000022987679251627774,
0.05499999994567726,0.000020426126248097643,0.1999148938068067,0.00004910029622463619,0.024962002397718036,0.000007808786099571436,0.000022439184907557063,0.0000023017642925824616,0.000000011959860196663939,0.000000012447310807651325,0.0000000003583141977925552,0.000006647429991524069,0.0000000013298605298096648,0.000000000034041070005725644,0.0000000000000016686799024318276,0.00000002330895089835561,
0.0566666666022148,0.000020378656824010346,0.19991385928215843,0.00004898594866227766,0.024960863066455022,0.000008037751111073267,0.000023051575247997403,0.0000024376155629509424,0.000000012236752166755268,0.000000012122767195137876,0.000000000294516933035827,0.000006842834419829831,0.000000001302388688402179,0.000000000033961968974196764,0.000000000000001664802400885855,0.00000002363194138916251,
0.058333333258752354,0.00002033129801759575,0.1999128214898837,0.000048871866125258726,0.024959724688641636,0.000008266142019099025,0.000023660300324828714,0.000002577060500235253,0.000000012546966751412879,0.000000011787470221925206,0.0000000002410037090762,0.000007037781314496705,0.000000001273385716058119,0.00000000003388305142029344,0.0000000000000016609338933411342,0.000000023955643198745764,
0.05999999999862324,0.000020284049926204515,0.19991178044405084,0.00004875804894772755,0.024958587261953907,0.00000849396031869781,0.000024265384996775605,0.0000027200714575990803,0.000000012893325968815848,0.00000001144373691881111,0.00000000019640746823025274,0.0000072322714328473895,0.0000000012429252213959576,0.00000000003380431757216151,0.0000000000000016570743909812847,0.000000024279030383577237,
